analysis4
t	x	y
0.0	2.8145668498516636E-5	9.084799331706371E-7
0.1	2.8104057060111485E-5	9.197141702065026E-7
0.2	2.7911960538401575E-5	1.001591271573206E-6
0.30000000000000004	2.7986807442362652E-5	1.0257208506615287E-6
0.4	2.7678911947322963E-5	1.1282885182792616E-6
0.5	2.760537305489577E-5	1.2666489798363533E-6
0.6000000000000001	2.76841471839196E-5	1.0903133594263772E-6
0.7000000000000001	2.7577830248186692E-5	1.0369481706093439E-6
0.8	2.7298832010528292E-5	9.934931264966567E-7
0.9	2.7144843068620506E-5	1.0069132959643378E-6
1.0	2.693869492945316E-5	9.903064990917477E-7
1.1	2.6562560522356693E-5	8.998800848330262E-7
1.2000000000000002	2.648862215728084E-5	9.510861181374403E-7
1.3	2.62841267680468E-5	1.0192184090408173E-6
1.4000000000000001	2.61051067518708E-5	8.868161691951871E-7
1.5	2.615827446353012E-5	1.0190804956277533E-6
1.6	2.6137899101253956E-5	1.083086474687555E-6
1.7000000000000002	2.6280571622298438E-5	7.753868767441062E-7
1.8	2.6254330048644017E-5	5.660424428451921E-7
1.9000000000000001	2.617421202334569E-5	5.720425425794181E-7
2.0	2.6143545941275562E-5	6.453990926172078E-7
2.1	2.610026017180331E-5	7.89534114432277E-7
2.2	2.609031957731357E-5	8.940554037010787E-7
2.3000000000000003	2.6081991805584956E-5	6.040566770870853E-7
2.4000000000000004	2.6135591129312762E-5	8.044759238642503E-7
2.5	2.6058039450704266E-5	6.087571489329856E-7
2.6	2.6286964774311065E-5	6.367854144884841E-7
2.7	2.612719904330298E-5	6.007016347051166E-7
2.8000000000000003	2.584630768308229E-5	5.015360194410125E-7
2.9000000000000004	2.566187854187074E-5	4.4577662336637864E-7
3.0	2.5543767505618172E-5	4.561743953649606E-7
3.1	2.5529046876711062E-5	4.519686374288042E-7
3.2	2.5712902520480843E-5	5.313095580530586E-7
3.3000000000000003	2.590130754574682E-5	4.951487913801376E-7
3.4000000000000004	2.5922955372702573E-5	5.274095210888304E-7
3.5	2.587696488322131E-5	7.21390049826695E-7
3.6	2.5788687785286634E-5	7.391476109309324E-7
3.7	2.5861991356129303E-5	7.886371156282871E-7
3.8000000000000003	2.5717943515682377E-5	9.206678982071501E-7
3.9000000000000004	2.5633585639576327E-5	7.524643970005662E-7
4.0	2.55248481783925E-5	7.9249180092386E-7
4.1000000000000005	2.5434827409573684E-5	9.865150931025505E-7
4.2	2.558233570336175E-5	1.1649328338083714E-6
4.3	2.547063596380819E-5	1.3935610993227036E-6
4.4	2.5287937006074643E-5	1.4273958873150277E-6
4.5	2.5179132904141676E-5	1.4733223311607293E-6
4.6000000000000005	2.5194102554931286E-5	1.4168395524738006E-6
4.7	2.5269823867465025E-5	1.4462679310073157E-6
4.800000000000001	2.548410781588538E-5	1.4590256938804347E-6
4.9	2.5529964446645768E-5	1.4478255558821886E-6
5.0	2.5598449803855974E-5	1.448874718811669E-6
5.1000000000000005	2.5448686984684984E-5	1.3362281394921496E-6
5.2	2.5172826775354006E-5	1.4278909862467962E-6
5.300000000000001	2.5135668873086586E-5	1.2084039480375486E-6
5.4	2.5104194755028147E-5	1.2977660005722148E-6
5.5	2.5144798390794417E-5	1.3663390737448847E-6
5.6000000000000005	2.5019341793141172E-5	1.4462964977988464E-6
5.7	2.4682538759100767E-5	1.4322583349664312E-6
5.800000000000001	2.4938251094597525E-5	1.1566896327914658E-6
5.9	2.4916901307994015E-5	1.3051107845199806E-6
6.0	2.485774830551898E-5	1.2552438057787416E-6
6.1000000000000005	2.495288254022575E-5	1.3219696594935241E-6
6.2	2.531746255066862E-5	1.1816049784518911E-6
6.300000000000001	2.5260981989001716E-5	1.251824941282872E-6
6.4	2.518553543273964E-5	1.1586239669983547E-6
6.5	2.494157601780634E-5	1.1461768193262695E-6
6.6000000000000005	2.489532894363659E-5	1.0233856108420587E-6
6.7	2.4919492524885774E-5	9.355640896693877E-7
6.800000000000001	2.4880568880772675E-5	1.0729601110631958E-6
6.9	2.5099645131434837E-5	1.0273235799764142E-6
7.0	2.5211999125210768E-5	1.042716122646725E-6
7.1000000000000005	2.50607826439973E-5	1.0594607812139094E-6
7.2	2.493461742542281E-5	9.470868456529458E-7
7.300000000000001	2.500500070934163E-5	7.838210261441208E-7
7.4	2.524245564233367E-5	6.063699795740371E-7
7.5	2.5157884511931455E-5	7.510861744716859E-7
7.6000000000000005	2.5088358071148505E-5	1.0216153462597825E-6
7.7	2.5259540301540247E-5	1.1088871939381238E-6
7.800000000000001	2.5412740271015277E-5	9.233508521504647E-7
7.9	2.5396854961939968E-5	7.693519493922634E-7
8.0	2.530872057826858E-5	8.468600185132172E-7
8.1	2.5480451777705835E-5	7.558545101508593E-7
8.200000000000001	2.5643656530068488E-5	7.327693719041433E-7
8.3	2.559943755343778E-5	7.659424663921096E-7
8.4	2.5579609187260627E-5	8.37221391483724E-7
8.5	2.5508920488504708E-5	9.439273865547782E-7
8.6	2.5668221969311494E-5	1.0614302865924645E-6
8.700000000000001	2.5754118184799706E-5	1.0908630294780735E-6
8.8	2.5762543019431756E-5	1.0916299248430345E-6
8.9	2.562577435788949E-5	1.4185554273226641E-6
9.0	2.5515351434928476E-5	1.5084271860986827E-6
9.1	2.543569716739724E-5	1.4747537343048759E-6
9.200000000000001	2.538916005373233E-5	1.7584758197104072E-6
9.3	2.5340436921256314E-5	1.978563559565551E-6
9.4	2.539024200833906E-5	1.957257491402537E-6
9.5	2.5344152279125073E-5	2.168793900079432E-6
