analysis3
t	x	y
0.0	1.2545502172855426E-5	-1.7986451293194133E-5
0.1	1.232279307188933E-5	-1.807907588783445E-5
0.2	1.2106784878074266E-5	-1.8058148956609954E-5
0.30000000000000004	1.212213876003761E-5	-1.8066288277490752E-5
0.4	1.209326994995215E-5	-1.811378050233396E-5
0.5	1.2149428533213772E-5	-1.806556430048012E-5
0.6000000000000001	1.2073041678314335E-5	-1.7993311826072283E-5
0.7000000000000001	1.1970427852812196E-5	-1.796652894601339E-5
0.8	1.183832084328389E-5	-1.8020862001319188E-5
0.9	1.1847501572494018E-5	-1.8035035817066177E-5
1.0	1.1837719061202747E-5	-1.809251891891511E-5
1.1	1.1900798606896133E-5	-1.794620005686009E-5
1.2000000000000002	1.1886465512105623E-5	-1.7941547572265948E-5
1.3	1.1934387537279507E-5	-1.8185913020468057E-5
1.4000000000000001	1.2121195624820767E-5	-1.8018406099841413E-5
1.5	1.2293898051511742E-5	-1.8070917235807782E-5
1.6	1.2255928133765919E-5	-1.8046228610552028E-5
1.7000000000000002	1.2314033608225806E-5	-1.792671862878518E-5
1.8	1.2398948818596912E-5	-1.7822729050703332E-5
1.9000000000000001	1.22945697936965E-5	-1.778761872404777E-5
2.0	1.21771305997028E-5	-1.782873952935987E-5
2.1	1.213554496010673E-5	-1.7706181331300056E-5
2.2	1.2224754969660088E-5	-1.7609806816349286E-5
2.3000000000000003	1.2127590095134792E-5	-1.7480444169651074E-5
2.4000000000000004	1.2075692411587419E-5	-1.7399021090630104E-5
2.5	1.2264757774858782E-5	-1.7576769751003005E-5
2.6	1.2366323539142082E-5	-1.7771018145539897E-5
2.7	1.2402628538875272E-5	-1.768292631210538E-5
2.8000000000000003	1.2491337832417876E-5	-1.7763554145557843E-5
2.9000000000000004	1.2329214309407341E-5	-1.7791359546851533E-5
3.0	1.2256315986856316E-5	-1.797027422391859E-5
3.1	1.2307405617439683E-5	-1.797142391584278E-5
3.2	1.2384058712532518E-5	-1.7963483271641188E-5
3.3000000000000003	1.23972188908944E-5	-1.7983612813280996E-5
3.4000000000000004	1.2462049017602298E-5	-1.8095613064951556E-5
3.5	1.2524561519798402E-5	-1.8213040429359686E-5
3.6	1.2602522217620877E-5	-1.820347712481879E-5
