analysis3
t	x	y
0.0	-1.0406807643312114E-5	-2.2157859872611412E-6
0.1	-1.0422513069039697E-5	-1.9988544306892092E-6
0.2	-1.034632259031263E-5	-1.8323352512216189E-6
0.30000000000000004	-1.0308998089058915E-5	-1.6018797411213349E-6
0.4	-1.0138704573537158E-5	-1.4938696638511266E-6
0.5	-1.0426815282627092E-5	-1.5073988942124653E-6
0.6000000000000001	-1.0454234536628845E-5	-1.4341955942813315E-6
0.7000000000000001	-1.0325866955541448E-5	-1.417229480995157E-6
0.8	-1.0219452163236166E-5	-1.437440016350179E-6
0.9	-1.032734540438007E-5	-1.4018134529287165E-6
1.0	-1.0327338865286185E-5	-1.2965381321129493E-6
1.1	-1.051289025728942E-5	-1.378118676903956E-6
1.2000000000000002	-1.0483550649979838E-5	-1.2559891611842842E-6
1.3	-1.0624182420313425E-5	-1.231441785038635E-6
1.4000000000000001	-1.0648904957655027E-5	-1.207045268374895E-6
1.5	-1.03999597240005E-5	-9.917136763103074E-7
1.6	-1.0243165104514028E-5	-7.389747311409403E-7
1.7000000000000002	-1.0189828536391629E-5	-7.20694921625601E-7
1.8	-9.93767369924063E-6	-9.90068914644054E-7
1.9000000000000001	-9.848088195824509E-6	-1.1781593861872263E-6
2.0	-9.873281161111291E-6	-1.037573749588364E-6
2.1	-9.906788000425975E-6	-1.0522789831190257E-6
2.2	-9.983296962945725E-6	-1.1187758459175998E-6
2.3000000000000003	-9.919098633613698E-6	-9.960983005594736E-7
2.4000000000000004	-9.844360793663428E-6	-8.793202321789864E-7
2.5	-9.71533531770648E-6	-8.953397877419739E-7
2.6	-9.846922359370854E-6	-9.553585051699207E-7
2.7	-9.85519978829903E-6	-9.68704252670254E-7
2.8000000000000003	-9.852677013560982E-6	-8.042917199716732E-7
2.9000000000000004	-9.93978877116011E-6	-7.958900120849202E-7
3.0	-9.981944932660945E-6	-8.015682559445999E-7
3.1	-1.0067101545273394E-5	-1.1711364571454213E-6
3.2	-9.99791287124693E-6	-1.23093412165519E-6
3.3000000000000003	-1.006425701823046E-5	-1.2122888743904063E-6
3.4000000000000004	-9.906492953701157E-6	-1.3229196263213545E-6
3.5	-9.64782620823293E-6	-1.247785024981845E-6
3.6	-9.604046000357642E-6	-1.2474467109963966E-6
3.7	-9.449310318951224E-6	-1.075480130656552E-6
3.8000000000000003	-9.462931235108298E-6	-1.0112278626271172E-6
3.9000000000000004	-9.362462317779033E-6	-1.1909588381581843E-6
4.0	-9.327313519972103E-6	-1.2110198908284311E-6
4.1000000000000005	-9.584632851094915E-6	-1.3232277132117925E-6
4.2	-9.563410582955008E-6	-1.5893211753516487E-6
4.3	-9.557793125126945E-6	-1.6857426975483878E-6
4.4	-9.639201503148728E-6	-1.640873102920601E-6
4.5	-9.751648953025373E-6	-1.6181843381535778E-6
4.6000000000000005	-9.634188266667152E-6	-1.6909553442765734E-6
4.7	-9.57400599499721E-6	-1.8719438336071861E-6
4.800000000000001	-9.401880155181356E-6	-1.7024035778515423E-6
4.9	-9.25776702002575E-6	-1.9654092688194697E-6
5.0	-9.195228224284343E-6	-1.942828684702472E-6
5.1000000000000005	-9.177462176947833E-6	-1.907864378153574E-6
5.2	-9.206184433478831E-6	-1.727267879311939E-6
5.300000000000001	-9.050721656035714E-6	-1.703879198143224E-6
5.4	-9.021516047720398E-6	-1.726920907588051E-6
5.5	-8.890011981021093E-6	-1.9434175381324376E-6
5.6000000000000005	-8.862826719713769E-6	-1.7687369562587138E-6
5.7	-8.871820992561244E-6	-1.7080211349792355E-6
5.800000000000001	-8.968465413283257E-6	-1.8556175529089246E-6
5.9	-8.62022863360581E-6	-2.0044816542851576E-6
6.0	-8.169531796626357E-6	-2.0413267590501524E-6
6.1000000000000005	-8.110476888108886E-6	-1.8381536915317828E-6
6.2	-8.031875098975771E-6	-1.7439694674944826E-6
6.300000000000001	-7.92715102333773E-6	-1.6086715601310001E-6
6.4	-7.95268572034175E-6	-1.442228406402506E-6
6.5	-7.946552026091805E-6	-1.346155836131614E-6
6.6000000000000005	-8.120600405552279E-6	-1.3270209773171015E-6
6.7	-8.339388111392934E-6	-1.33849001419798E-6
6.800000000000001	-8.480531763733165E-6	-1.1679495095498813E-6
6.9	-8.522472372195915E-6	-8.736472051862977E-7
7.0	-8.608543023731954E-6	-9.175876866849929E-7
7.1000000000000005	-8.785737435377728E-6	-8.673914487400373E-7
7.2	-8.789176448752812E-6	-6.282131551001529E-7
7.300000000000001	-8.774147438926371E-6	-4.444477940993111E-7
7.4	-8.830525452298522E-6	-4.5318129114767274E-7
7.5	-8.83243475574614E-6	-4.73345894150738E-7
7.6000000000000005	-8.98559828535768E-6	-6.787590305406391E-7
7.7	-9.157275519783096E-6	-5.757441243456452E-7
7.800000000000001	-9.010445035375912E-6	-4.964762727706693E-7
7.9	-9.02692642046125E-6	-2.3606596467236622E-7
8.0	-9.092676870001197E-6	-3.168157909853441E-7
8.1	-9.228864136744895E-6	-2.7581239548726686E-7
8.200000000000001	-9.318626884329875E-6	-2.365437618783071E-7
8.3	-9.36671852575958E-6	-3.33196760296673E-7
8.4	-9.265424876703624E-6	-3.4735675661321257E-7
8.5	-9.376406455270726E-6	-2.7556548889845093E-7
8.6	-9.542449545503488E-6	-1.356856503682938E-8
8.700000000000001	-9.835948796338611E-6	1.8967106309356985E-7
8.8	-9.840172578643353E-6	1.9410053141819022E-7
8.9	-1.0243959484067335E-5	2.697592947229692E-7
9.0	-1.0520966899999324E-5	2.7301697935436687E-7
9.1	-1.0395716814498313E-5	3.5876693116333703E-7
9.200000000000001	-1.0186164461552111E-5	2.1065540716113962E-7
9.3	-9.927197586525993E-6	2.8302317395958136E-7
9.4	-9.72307969181413E-6	3.701327588287223E-7
9.5	-9.697088668429375E-6	4.3412588992401045E-7
9.600000000000001	-9.857142825538015E-6	3.4321558366679687E-7
9.700000000000001	-9.691378034436538E-6	2.176848800481291E-7
9.8	-9.647213051913958E-6	9.815453282515323E-8
9.9	-9.541742694538813E-6	2.5533209821430197E-7
10.0	-9.380197608332829E-6	4.434940423148797E-7
10.100000000000001	-9.28258702085871E-6	3.829567147388074E-7
10.200000000000001	-9.234870093822932E-6	2.587555198326936E-7
10.3	-9.22327164146206E-6	3.3047704630516015E-7
10.4	-9.29806470325029E-6	2.8698505806422857E-7
10.5	-9.332962220297077E-6	1.6284154547889442E-7
10.600000000000001	-9.388834559116664E-6	7.554904432877498E-9
10.700000000000001	-9.264491061822829E-6	8.91174982647379E-8
10.8	-9.478788375713622E-6	2.1169725490765553E-7
10.9	-9.438039612830526E-6	4.529413818076726E-7
11.0	-9.321475267948194E-6	4.05915707768381E-7
11.100000000000001	-9.322931442074806E-6	6.371781228950018E-7
11.200000000000001	-9.304365278553977E-6	6.931811945845592E-7
11.3	-9.125674858935084E-6	7.435747783116393E-7
11.4	-8.999067526249464E-6	6.64693745203549E-7
11.5	-8.987787537933684E-6	6.529302624396575E-7
11.600000000000001	-8.908556390627957E-6	4.769548726503574E-7
11.700000000000001	-8.656946576963445E-6	2.4736847187053476E-7
11.8	-8.553734862671295E-6	7.41855108814566E-8
11.9	-8.653818778663955E-6	-1.3140104517479415E-7
12.0	-8.53134151525499E-6	-5.797765247722E-8
12.100000000000001	-8.58634604208339E-6	-3.2334431357381745E-7
12.200000000000001	-8.647929321852674E-6	-5.808269779279749E-7
12.3	-8.656429876840809E-6	-4.47812949703131E-7
12.4	-8.92376823566113E-6	-4.494434264179685E-7
12.5	-9.038993917926949E-6	-5.985702337668253E-7
12.600000000000001	-9.16103563854179E-6	-7.539508114249999E-7
12.700000000000001	-9.134179708857195E-6	-6.582636324825838E-7
12.8	-9.227161976047014E-6	-6.493402988902563E-7
12.9	-9.32215782913138E-6	-6.865629713566525E-7
13.0	-9.331662994848931E-6	-7.82797195723741E-7
13.100000000000001	-9.239624159991145E-6	-7.73319913023658E-7
13.200000000000001	-8.933890168639183E-6	-7.663652523498895E-7
13.3	-8.889625304571918E-6	-8.714847004939735E-7
13.4	-8.909205794164755E-6	-9.490368820318598E-7
13.5	-8.947691951071373E-6	-1.0445505315006417E-6
13.600000000000001	-9.00415528051611E-6	-1.0695170580048843E-6
13.700000000000001	-9.210585068337766E-6	-1.267066850764453E-6
13.8	-9.215453431730245E-6	-1.2594234837971858E-6
13.9	-9.28138551285138E-6	-1.3318431846491411E-6
14.0	-9.429716548884037E-6	-1.2698110518039618E-6
14.100000000000001	-9.649760451323008E-6	-1.3212001952905782E-6
14.200000000000001	-9.728813167014368E-6	-1.0107036534975759E-6
14.3	-9.988446454206605E-6	-1.0785410702959474E-6
14.4	-9.979126353524778E-6	-1.0725366961340061E-6
14.5	-9.829872800202653E-6	-1.0263029662335623E-6
14.600000000000001	-9.617858504594237E-6	-1.0917553854983134E-6
14.700000000000001	-9.521488807984817E-6	-1.316415050876608E-6
14.8	-9.434556971036266E-6	-1.435943922434887E-6
14.9	-9.384871948773666E-6	-1.4966624333416406E-6
15.0	-9.440920691508538E-6	-1.574064773983888E-6
15.100000000000001	-9.368887777008803E-6	-1.808372360190574E-6
15.200000000000001	-9.118619342367115E-6	-1.8655987964226193E-6
15.3	-9.214643518896228E-6	-1.8015666438253252E-6
15.4	-9.170574587693785E-6	-1.8296567982988186E-6
15.5	-8.996149560615974E-6	-1.791206759391133E-6
15.600000000000001	-8.775369966072395E-6	-1.557339016220721E-6
15.700000000000001	-8.79371087518254E-6	-1.472556049261847E-6
15.8	-8.815809073179123E-6	-1.3863709367298896E-6
15.9	-8.808960738146415E-6	-1.390194290419865E-6
16.0	-8.839739895066034E-6	-1.1526851846044262E-6
16.1	-9.050132530257835E-6	-1.151009855018409E-6
16.2	-9.050249621622183E-6	-1.1479663384443979E-6
16.3	-9.065425267477715E-6	-1.29807728295279E-6
16.400000000000002	-9.162994575614226E-6	-1.4113991888521234E-6
16.5	-9.112982501324347E-6	-1.556140258198173E-6
16.6	-9.211264990323098E-6	-1.534845250759768E-6
16.7	-9.280491638301317E-6	-1.573943719425658E-6
16.8	-9.347579978730512E-6	-1.7676616289527073E-6
16.900000000000002	-9.469634221010264E-6	-1.8945224104135994E-6
17.0	-9.586274758740315E-6	-1.7927687987602008E-6
17.1	-9.57862421396844E-6	-1.6648529436349139E-6
17.2	-9.787175681138602E-6	-1.936104390455315E-6
17.3	-9.789406749576455E-6	-1.9597800822486675E-6
17.400000000000002	-9.7862658898283E-6	-1.9566791388561747E-6
17.5	-9.81762542170667E-6	-1.7571598454650336E-6
17.6	-1.0174283483377209E-5	-1.6226382327897847E-6
17.7	-1.0203726795566585E-5	-1.6862091177908433E-6
17.8	-1.0129702926506116E-5	-1.8412318395432956E-6
17.900000000000002	-1.0131790046805133E-5	-1.844653701326344E-6
18.0	-1.0138951707950474E-5	-1.809414116658529E-6
18.1	-9.993711140307439E-6	-1.8552968938186746E-6
18.2	-1.0104361231419414E-5	-1.8367897867884665E-6
18.3	-1.0111657685352141E-5	-1.8407213863673178E-6
18.400000000000002	-9.900399751876529E-6	-1.811896310926487E-6
18.5	-9.891539405878664E-6	-1.8236376237601058E-6
18.6	-9.786026815972055E-6	-1.5078056598338341E-6
18.7	-9.782984795917762E-6	-1.5040393727806345E-6
18.8	-9.92465104549814E-6	-1.6205998345269123E-6
18.900000000000002	-9.932074824013494E-6	-1.6110466910909844E-6
19.0	-9.967746439620368E-6	-1.723893752514519E-6
19.1	-9.964971675014106E-6	-1.7339471055720815E-6
19.200000000000003	-9.885403175852836E-6	-1.788644699213208E-6
19.3	-1.000722546311364E-5	-1.6066606000567711E-6
19.400000000000002	-1.0011562770046916E-5	-1.635092535356968E-6
19.5	-1.0019569118233456E-5	-1.6447684291517642E-6
19.6	-9.735047222957465E-6	-1.6803254290785662E-6
