analysis2
t	x	y
0.0	-1.673730528200539E-5	-1.788563115487917E-5
0.1	-1.680554841748769E-5	-1.778796188175995E-5
0.2	-1.6590085966633438E-5	-1.7789774782305684E-5
0.30000000000000004	-1.6578001793195085E-5	-1.7761356875758696E-5
0.4	-1.6581029956321592E-5	-1.7613094625188655E-5
0.5	-1.6627112521495073E-5	-1.746705352981217E-5
0.6000000000000001	-1.6559487658257547E-5	-1.7571689016884514E-5
0.7000000000000001	-1.6558504305057288E-5	-1.757875815172153E-5
0.8	-1.6455540694501925E-5	-1.7473055025667E-5
0.9	-1.6559600490285184E-5	-1.7484962278983822E-5
1.0	-1.6544649037872386E-5	-1.7541594075310945E-5
1.1	-1.636538171526724E-5	-1.7592827746750805E-5
1.2000000000000002	-1.609239989560193E-5	-1.7460835725710815E-5
1.3	-1.5975052435078295E-5	-1.7467414157078594E-5
1.4000000000000001	-1.5762209384721668E-5	-1.7105812472764542E-5
1.5	-1.5627149286311053E-5	-1.690757151436263E-5
1.6	-1.5661100864101147E-5	-1.7068445176095118E-5
1.7000000000000002	-1.5548259235300213E-5	-1.71961903596119E-5
1.8	-1.5555570992186634E-5	-1.7347033419480557E-5
1.9000000000000001	-1.5472679553364586E-5	-1.7409091647100637E-5
2.0	-1.5456599318243066E-5	-1.7376656341794036E-5
2.1	-1.5503343872066615E-5	-1.756814526747971E-5
2.2	-1.5524038994471E-5	-1.761717453782244E-5
2.3000000000000003	-1.5700364647408272E-5	-1.7615692456142427E-5
2.4000000000000004	-1.5899868382686293E-5	-1.7812205435249688E-5
2.5	-1.588456973998727E-5	-1.780582935028152E-5
2.6	-1.6086389480409453E-5	-1.7725142419858483E-5
2.7	-1.606301424529842E-5	-1.757374534677586E-5
2.8000000000000003	-1.6068502835081308E-5	-1.758140104060242E-5
2.9000000000000004	-1.6120459771556434E-5	-1.7616716040589603E-5
3.0	-1.5992502636496727E-5	-1.7685971400536802E-5
3.1	-1.6016998641486613E-5	-1.7750763322716536E-5
3.2	-1.600202806182029E-5	-1.776405269444117E-5
3.3000000000000003	-1.5996987233055336E-5	-1.7628705157870085E-5
3.4000000000000004	-1.5832677311882802E-5	-1.7334407505298217E-5
3.5	-1.577498960959219E-5	-1.7176006152800213E-5
3.6	-1.5645866890088654E-5	-1.699031738259432E-5
3.7	-1.5524426242983572E-5	-1.6967175649680932E-5
3.8000000000000003	-1.5575965163944222E-5	-1.71835397993424E-5
3.9000000000000004	-1.548838425684999E-5	-1.729221020011074E-5
4.0	-1.544364857932885E-5	-1.7280929912475172E-5
4.1000000000000005	-1.553073934631023E-5	-1.7393780791823145E-5
4.2	-1.537550566170719E-5	-1.734403559331424E-5
4.3	-1.5207999171534463E-5	-1.739078789331581E-5
4.4	-1.526634129959858E-5	-1.7276523871924656E-5
4.5	-1.5216048596258329E-5	-1.7200087834036903E-5
4.6000000000000005	-1.5257884782148737E-5	-1.7359419215059186E-5
4.7	-1.534105593661799E-5	-1.7318940677300396E-5
4.800000000000001	-1.5507535048964043E-5	-1.726683804711973E-5
4.9	-1.5659042780100805E-5	-1.7076391939665223E-5
5.0	-1.5712840398051315E-5	-1.692201464707599E-5
5.1000000000000005	-1.57621502676464E-5	-1.6899951620888144E-5
5.2	-1.5769078076490095E-5	-1.6704752537786285E-5
5.300000000000001	-1.5678141150101598E-5	-1.6637386484021304E-5
5.4	-1.5710592262141142E-5	-1.665798731268833E-5
5.5	-1.5648543769791866E-5	-1.6858742081101673E-5
5.6000000000000005	-1.5658569577211186E-5	-1.694867782109381E-5
5.7	-1.5818562230316296E-5	-1.6930957314898315E-5
5.800000000000001	-1.578721257357518E-5	-1.6899819415828805E-5
5.9	-1.5826294383222132E-5	-1.693357392826055E-5
6.0	-1.5800544388407343E-5	-1.7056168823221374E-5
6.1000000000000005	-1.5732001798663897E-5	-1.702903966514224E-5
